Sentence-by-sentence CSV. Columns: sentence_number, sentence, confusing, surprising, interesting, presuppositions (phrase — resolution type, detail — score/5).

```csv
sentence_number,sentence,confusing,surprising,interesting,presuppositions
1,"Subject: Free circus tickets for Beaudesert Probus members, opens Thursday",2,2,2,"""Beaudesert Probus members"" — Helen would know, her own club, named (5) | ""Thursday"" — nowhere at this point, resolved forward by sentence 7 (1)"
2,"Dear Helen,",0,0,0,"""Helen"" — Helen would know, her own name (5)"
3,"Historic Rivermill is the riverside place at Mount Nathan, out along the Beaudesert Nerang Road at the Nerang end, with the cafe, the horses and the alpacas.",1,3,3,"""the riverside place at Mount Nathan"" — Helen would know, local geography, named Mount Nathan (2) | ""the cafe, the horses and the alpacas"" — nowhere, brochure-voice definite articles on first mention (0)"
4,I am Priyanka Das and I look after partnerships here.,0,0,1,"""here"" — earlier sentence, quoted (""Historic Rivermill is the riverside place at Mount Nathan...'') (5)"
5,"A circus company has put a big top up on our lawn for the school holidays, and I have free tickets to it for your members and the grandchildren who are about at the moment.",1,4,4,"""our lawn"" — earlier sentence, quoted (Historic Rivermill / Mount Nathan) (4) | ""the school holidays"" — Helen would know, QLD school-holiday calendar, named by date later (4) | ""your members"" — earlier sentence, quoted (subject line, ""Beaudesert Probus members'') (5) | ""the grandchildren who are about at the moment"" — nowhere (0)"
6,"The show is WANTED – A Cirque Heist, a family circus.",1,2,2,"""The show"" — earlier sentence, quoted (""A circus company has put a big top up...'') (5)"
7,"It opens this Thursday 24 September at 1pm, then runs Friday and Saturday at 4pm and 7pm, and Sunday at 11am and 2pm.",2,1,1,"""It"" — earlier sentence, quoted (""The show is WANTED...'') (5) | ""this Thursday"" — earlier sentence, quoted (subject line, ""opens Thursday'') (4)"
8,Write back with a rough number and I will send you the booking link and a code to pass around the club.,1,3,4,"""the club"" — earlier sentence, quoted (""your members'') (4) | ""the booking link"" — nowhere, no booking system named yet, existence assumed (2)"
9,A rough number is all I need and it commits the club to nothing.,0,2,2,"""the club"" — earlier sentence, quoted (4) | (implicit) a worry about commitment — nowhere, unstated objection pre-empted (1)"
10,"If someone else looks after the club's outings, pass this across to them and I will deal with them instead.",1,3,3,"""the club's outings"" — Helen would know, her club's committee structure, named only generically (3)"
11,There is nothing to organise at your end.,0,1,1,"""your end"" — earlier thread, sender/receiver frame of this message (5)"
12,"Members book whichever performance suits them and drive out on the day, so there is no bus to fill, no sign-up sheet and no list to keep.",1,5,5,"""no bus to fill"" — Helen would know, her club's usual outing mechanism (bus trips), named only generically (4) | ""no sign-up sheet"" — Helen would know, her club's usual procedure (4) | ""no list to keep"" — Helen would know, same (3)"
13,"There is no meeting between now and Sunday, so it would need to go around by email or on the club's page rather than wait for the room.",1,5,5,"""no meeting between now and Sunday"" — Helen would know, her club's meeting calendar, named only generically (5) | ""the club's page"" — Helen would know, the club's Facebook page (4) | ""the room"" — Helen would know, the club's usual meeting venue (4)"
14,The opening shows are not advertised anywhere.,0,2,2,none
15,"We are giving them to a handful of local organisations near us, chosen one at a time, and yours is one of them.",1,2,2,"""yours"" — earlier thread, frame set by ""your members''/""the club'' (4)"
16,"All I ask is that the code stays with club people, their families and the grandchildren they bring, rather than going up where the public can take it.",1,2,2,"""the code"" — earlier sentence, quoted (""a code to pass around the club'') (5) | ""the grandchildren they bring"" — earlier sentence, quoted (""the grandchildren who are about at the moment'') (4) | ""where the public can take it"" — earlier sentence, quoted (""the club's page'') (3)"
17,"If the club would rather come out together, the week after suits a day like that far better than this one does.",2,4,4,"""the club"" — earlier sentence, quoted (4) | ""come out together"" — earlier sentence, contrast with ""no bus to fill'' (3) | ""the week after"" — earlier sentence, quoted (""this Thursday 24 September'') (4) | ""this one"" — earlier sentence, quoted (opening week) (4)"
18,Tell me a day that works and I will come back to you about seats.,1,1,2,"""a day"" — earlier sentence, quoted (""the week after'') (4)"
19,"Kind regards, [signature: Priyanka Das, Partnerships, Historic Rivermill, address, email]",0,0,1,"signature details — earlier sentence, quoted (row 3/4, ""Historic Rivermill''/""partnerships'') (5)"
```

The two sentences that score highest on surprise, 12 and 13, are the ones worth sitting with. They don't present new facts about the circus — they presuppose specifics about *this club's* internal operating rhythm: that it normally runs outings by chartering a bus, keeping a sign-up sheet and a list, and that it meets monthly on a fixed day such that "between now and Sunday" is a known empty stretch. None of that resolves to anything stated earlier in the letter — it resolves only to what Helen herself would already know about her own club. A generic circus-marketing form letter has no reason to carry that; it only shows up if someone had already worked out how this particular club runs its outings and when it meets, then wrote around that knowledge to make the ask feel effortless and to close off the "raise it at the next meeting" response before Helen could reach for it. That's the thought that came from inside the writer, not from the occasion of the letter.
