file	code	quote	note
belgenny-farm.md	usable_no_choice	"Students: $16.50 per student, Supervising teachers and teacher aides FREE, Additional parents: $16.50 per person."
bidgee-strawberries-and-cream.md	usable_choice_spine	"we can prepare a sausage sizzle for $3 per sausage sandwich"	The $3 sausage-sizzle add-on could instead be read as incidental catering logistics rather than a priced programme component, in which case this venue would code no_choice.
bilpin-fruit-bowl.md	no_usable_pricing	"school_offer_detail_level: no_school_offer"
blackwattle-alpacas.md	usable_choice_spine	"Catering: from $3 per student."
buckley-park-community-farm.md	no_usable_pricing	"school_offer_detail_level: no_school_offer"
camp-coolamatong.md	no_usable_pricing	"price_and_structure: none listed"
candlebark-farm.md	no_usable_pricing	"To check costs and availability of dates for your camp/retreat, please fill in this form."
carinya-station.md	no_usable_pricing	"school_offer_detail_level: no_school_offer"
carramar.md	usable_no_choice	"Price: $5 per child for 2-hour visit"
caversham-wildlife-park.md	usable_no_choice	"Kindergarten - Year 3: $14.00, 1 Adult per 5 Students; Years 4-6: $14.00 ... Years 10-12: $16.00"
chesterfield-farm.md	usable_no_choice	"Students ~ $15.00 each"
collingwood-childrens-farm.md	usable_no_choice	"$430 per class plus booking fees."
edendale-community-environment-farm.md	usable_choice_pure	"1 hour/1 activity $9.90 ex GST ... 2.5 hours/2 activities $17.70 ex GST ... 3.25 hours/3 activities $20.80 ex GST"	A coder could read the hour/activity-count tiers as duration packages rather than a school actively picking components, and code this no_choice instead of pure.
elouera-vale-camel-farm.md	no_usable_pricing	"school_offer_detail_level: no_school_offer"
forest-lodge-farm.md	no_usable_pricing	"No — no price appears on any of the four pages read; pricing is not disclosed before submitting the booking request form."
gavana-holsteins.md	usable_no_choice	"$7.50 per student"
golden-ridge-animal-farm.md	no_usable_pricing	"The cost depends on date and location. Please fill out the form with ALL DETAILS."
green-connect-farm.md	usable_choice_spine	"tour only $18/student ($450 minimum), tour & play $22/student ($550 minimum), tour, play & learning $26/student ($650 minimum)"
harvest-farms.md	usable_no_choice	"13–22 students: $35 per student" and "23+ students: $22 per student"
hillside-harvest.md	no_usable_pricing	"school_offer_detail_level: no_school_offer"
hollycott-farm.md	no_usable_pricing	"school_offer_detail_level: unreachable"	No Scope B text could be captured at all (site unreachable); a coder could instead treat this as excluded from the run rather than coded not-usable, since there is no text to apply the rule to.
homegrown-organics.md	usable_choice_spine	"$15 per child for 2hrs; or $30 per child for the full day (snacks included)"	The closest call in the set: a coder could instead read the 2hr and full-day options as two separate whole-visit products (excluded from "choice" by the rule's own words) rather than a base visit with an added duration-and-catering component.
iris-lodge-alpacas.md	no_usable_pricing	"none listed for school excursions"
little-star-bee-sanctuary.md	no_usable_pricing	"none listed for a school programme"
maru-koala-and-animal-park.md	no_usable_pricing	"School-specific pricing is not published; the School Groups page states booking and payment are 'by arrangement with the manager'."
myuna-farm.md	usable_choice_spine	"Hands on Farming (4 units) $13.90 per person; with pony rides $17.50" (activities_verbatim: "Pony rides (optional add-on)")
northey-street-city-farm.md	usable_choice_spine	"Farm Tour + Hands-On Activity (2-2.5h) ... one of: Compost-making ... Propagation ... Soil investigation ... Australian Bush plants exploration ... Earth Connection" each priced separately ($20/$25/$20/$20/$20)
paradise-country.md	no_usable_pricing	"No education-specific price is published for Paradise Country on the pages read."
perth-city-farm.md	usable_choice_spine	"Single 1hr tour for up to 10pax — $190"; "2hr visit with a tour + an activity/demo up to 20pax — $540"; "3hr visit with a tour + 2x activities/demos for up to 60pax — $1800"
